title,link,spreadsheet
Pericles,https://docs.google.com/spreadsheets/d/e/2PACX-1vQhHlQRYcKYwr0XrZYMPOLbbKlGsSoeSZuc_WzORe-FoLM6LiG7tNfWItvRUoTmnqkPVZrEfjX18ZUL/pub?output=csv,https://docs.google.com/spreadsheets/d/1H_P3Yy3_5mBQ4RW7DgJSbogo5dEOLAulWLCvIdJVCqc/copy
Richard II,https://docs.google.com/spreadsheets/d/e/2PACX-1vTqArHEVxTm6XkdvOgG9Q0sr62C2mtEEuXWHfjP_F2HEn1GRCHocaqmwNXvj66mRFtij9PFxPRZUUzC/pub?output=csv,https://docs.google.com/spreadsheets/d/1-b-3wuDoAEwvTe7iSKKweO-xhluvnrhdCaByy3GVRfc/copy
Richard III,https://docs.google.com/spreadsheets/d/e/2PACX-1vSKRFHR0bRzhrwMqPM-Rqf5Ck59h-rGZIsz13kkb4ARtR5-ieHf7cvZNpvBGGXczAl5fswRf8jQC9hX/pub?output=csv,https://docs.google.com/spreadsheets/d/1ahRGS4EHfXHgRTRvu3DpQxhbU6NbI-pwX_wvZiPLVOo/copy
Romeo and Juliet,https://docs.google.com/spreadsheets/d/e/2PACX-1vR-rMqwc0-Mr2g-rJsFNtjVlOXmdAlrkmyEOGFjrVcoH9VRHVT1UIChn2FNvkaj781YgAzFbAhVME72/pub?output=csv,https://docs.google.com/spreadsheets/d/1mXetF9vJvHo6sLTmgkMfH7ml-in-BNZGVtWxrEdN1YE/copy
Taming of the Shrew,https://docs.google.com/spreadsheets/d/e/2PACX-1vQDG5O2n8AM93xMQONugpPcfem4c2xtdw9Q222PtY8ChCQZ-xxauEuKJaT16No4qlpXnifajZ8aGXgY/pub?output=csv,https://docs.google.com/spreadsheets/d/1LkOggk5-VFYr5mtdSWn9O__mxnGLefQnBGzYbfcUimU/copy
The Tempest,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUtG5yd5ukIPLfbSfIHnd2Ok59qQfNSDGJw6ssPIpz-zVDE8KpiwMgn0a2w0Egwq7SS6zYkJvNNXJc/pub?output=csv,https://docs.google.com/spreadsheets/d/1IS2WWNNkrKzJ588ZnF7eI9Hz8wGXvdkQFaCbOFGkLZQ/copy
Timon of Athens,https://docs.google.com/spreadsheets/d/e/2PACX-1vQNWndWLKJdSuvv0gkDu1H8dC38AMqv27kUDDV4NVenwcb5xeOa4DnvCUpoqwoFAf7B9Nbhr0hPJuYe/pub?output=csv,https://docs.google.com/spreadsheets/d/1Q-w2Yf-r-j4Gsag1jUfM5F0i6ZkyTdwtJOLvSMSadh4/copy
Titus Andronicus,https://docs.google.com/spreadsheets/d/e/2PACX-1vRREg8fVfVYiNtsd2nq0X7TiC0RAxWeGR0qxqEuVX1SVdjLZbxtbkwyaXG67oD6y3LxnnyziS6ofREC/pub?output=csv,https://docs.google.com/spreadsheets/d/1a-NnbcPA9pujpch9kpCqzlffT-yCFIylMnjoswm0SLM/copy
Troilus and Cressida,https://docs.google.com/spreadsheets/d/e/2PACX-1vSN2WA8tY9BX2Zwh6c3OP2S9iX7T8A6QsEA9A-tdUFLuLg3LxPDZJt6JTV3RkMnaqx0G4njPuHNiuoa/pub?output=csv,https://docs.google.com/spreadsheets/d/1W1N0KBQF5x0xlZG1Vk2oAjm3f7UXifNV3hUPmmLuNHo/copy
Twelfth Night,https://docs.google.com/spreadsheets/d/e/2PACX-1vRU63NRTUrdGCvlL4gWHuFVIzcCshzZKtOhmeb2SWU5PRUtuhD0xi_0-DhOiNA2GqJ8W5ZHWuPgCNmF/pub?output=csv,https://docs.google.com/spreadsheets/d/13e21h4zG_75-gWQPxTasOLqFeHeKs_4KCvrOV8F6OSU/copy
Two Gentlement of Verona,https://docs.google.com/spreadsheets/d/e/2PACX-1vTmcy93rEjaC-GzsuK17WTkcMQPml8nXYixtaR5e1qaR7sqj1j6AinnGyGXsWq7Xc_6WYJCH5Xeybhf/pub?output=csv,https://docs.google.com/spreadsheets/d/1q22DatsSDiS26M44h89mccl8cvpGpONdKIO1YU_0TyE/copy
